Login,Malayalam,Ward No.,Ward Name,Elected Members,Role,Party,Reservation
,,10.0,VENGALOOR,P. PUSHPA,Member,CPI(M),Woman
,,11.0,KOLUPALAM,P.P.MOHAMEDALI HAJI,Member,IUML,General
,,12.0,KOTTATHARA,HAJARA. K.P,Member,CPI,Woman
,,13.0,B.P.ANGADI TOWN,P.P LAIQUE,Member,IUML,General
,,14.0,PARASSERI EAST,A. NAFEESA,Member,CPI(M),Woman
,,15.0,PARASSERI WEST,E. SAHIRABANU,Member,CPI(M),Woman
,,16.0,POOKAITHA,P.MOHAMMEDALI,Vice President,CPI(M),General
,,17.0,B.P.ANGADI,A. BINDHU,Member,CPI(M),Woman
,,18.0,VADAKKE ANGADI,V.J.SANTHA TEACHER,President,CPI(M),Woman
,,19.0,KALLUKKADAVU,T. SHAJI,Member,CPI(M),General
,,1.0,PARAPPRUM,SUJATHA. A,Member,CPI(M),Woman
,,2.0,EDAKKADAVU,PATTUAM CHANDRAN,Member,CPI(M),General
,,3.0,CHERIKKAL,RAJANI E,Member,CPI(M),Woman
,,4.0,PINARAYI NORTH,GEETHAMMA P.K,Vice President,CPI(M),Woman
,,5.0,OLAYAMBALAM,SHEEBAKUMARI M,Member,CPI(M),Woman
,,6.0,VENDUTTAYI,PRASEETHA P,Member,CPI(M),Woman
,,7.0,KOZHUR,KONKI RAVEEDHRAN,President,CPI(M),General
,,8.0,PANUNDA,AJITHA V R,Member,INDEPENDENT,SC
,,9.0,OLAYIKKARA,SHEEJA MAROLI,Member,CPI(M),Woman
,,10.0,ERUVATTY,NELIKKA ANITHA,Member,CPI(M),Woman
,,11.0,KAPPUMMAL,SHOBHA K,Member,CPI(M),General
,,12.0,PENAKIMETTA,JAYADEVAN K,Member,CPI(M),General
,,13.0,PANTHAKKAPARA,V.M CHANDRAN MASTER,Member,CPI(M),General
,,14.0,UMMENCHIRA,PRADEEPAN C,Member,CPI(M),General
,,15.0,KIZHAKKUMBHAGUM,VIJAYAN MANIYATH,Member,CPI(M),General
,,16.0,PADANNAKARA,RADHA N,Member,CPI(M),Woman
,,17.0,PINARAYI THERU,PANKJASHKI N,Member,CPI,Woman
,,18.0,KOLAD,BHASURAN P.K,Member,CPI(M),General
,,19.0,PINARAYI WEST,VIMALA K,Member,CPI(M),Woman
,,1.0,MANGUZHI,V.P DEVASSYKUTTY,Member,INDEPENDENT,General
,,2.0,CHERANALOOR,SHAIJI JOY,Member,KC(M),Woman
,,3.0,CHERANALLOR EAST,P Y PAULOSE,President,INC,General
,,4.0,THOTTUVA,JANCY GEORGE,Member,KC(M),Woman
,,5.0,KODANAD,MAYA KRISHNAKUMAR,Member,INC,Woman
,,6.0,ALATTUCHIRA,ANNAKUTTY PAULOSE,Member,INC,Woman
,,7.0,CHETTINADA,AJITHA DIVAKARAN,Member,CPI(M),Woman
,,8.0,KURICHILAKODE EAST,V.M SHAJI,Member,CPI,General
,,9.0,KURICHILAKODE,SINDHU ARAVIND,Member,INC,Woman
,,10.0,KOOVAPPADY SOUTH,LEELAMMA RAVI,Member,INC,Woman
,,11.0,AIMURY,KUNJUMOL THANKAPPAN,Member,INC,SC
,,12.0,KAVUMPURAM NORTH,PAUL KALAMBATTUKUDY,Member,INDEPENDENT,General
,,13.0,AIMURY EAST,SAKHI P.M,Member,INC,SC Woman
,,14.0,THRIVENI,SANTHOSH KUMAR P.K,Member,CPI(M),General
,,15.0,KAVUMPURAM,ADV .V.K.SANTHOSH,Member,CPI(M),General
,,16.0,PADIKKALAPPARA,K. G VIJAYAN,Member,NCP,General
,,17.0,POOPPANI,M.V.DOMININGOSE,Member,INC,General
,,18.0,AYATHUPADI,SHYMOL SHYJAN,Member,INC,Woman
,,19.0,MAVELIPPADY,M.O.JOSE,Member,INDEPENDENT,General
,,20.0,KOOVAPPADY NORTH,SUDHA RAJU,Member,CPI(M),Woman
,,1.0,MAMBRA WEST,SALINI BIJU,Member,CPI(M),SC Woman
,,2.0,MAMBRA EAST,P V JOSE,President,INC,General
,,3.0,PULIYANAM EAST,SEENA SHIBU,Member,INC,Woman
,,4.0,PULIYANAM SOUTH,M A RAVEENDRAN NAIR,Member,INC,General
,,5.0,KODUSSERY,N C VELAYUDHAN,Member,INC,SC
,,6.0,VATTAPPARAMBU,MARY RAPPEL,Member,INC,Woman
,,7.0,KURUMASSERY EAST,RENUKA PRAKASAN,Member,CPI,Woman
,,8.0,KURUMASSERY WEST,JISHA SREEDHARAN,Member,CPI(M),Woman
,,9.0,KURUMASSERY NORTH,M R RAVI,Member,INC,General
,,10.0,MOOZHIKKULAM,JOY C M,Member,INC,General
,,11.0,PARAKKADAVU SOUTH,REENA RAJAN,Member,CPI(M),Woman
,,12.0,PARAKKADAVU NORTH,ADV.K Y TOMY,Member,INC,General
,,13.0,PUVATHUSSERY,DAISY TOMY,Vice President,INC,Woman
,,14.0,KUNNAPPILLISSERY,SHINY SHAJU,Member,CPI(M),Woman
,,15.0,ELAVOOR,CHANDRASEKHARA WARRIER S B,Member,INC,General
,,16.0,PULIYANAM,E S NARAYANAN,Member,CPI(M),General
,,17.0,ELAVOOR NORTH,POULOSE KALLARAKKAL,Member,INC,General
,,18.0,PULIYANAM WEST,BEENA ITTEERA,Member,INC,Woman
,,1.0,KOLLAKA,GEORGE CHACKO,Member,INC,General
,,2.0,VADAKUMTHALA,PANTHAL THYAGARAJAN,Member,KRSP(B),General
,,3.0,PANAYANNARKAVU,MALLAYIL NOUSHAD,Member,INDEPENDENT,General
,,4.0,CHAMBAKADAVU,ABDUL MANAF,Member,INC,General
,,5.0,PARAMBIMUKKU,A.M NOUFAL,Member,IUML,General
,,6.0,VETTAMUKKU,S.RAJI,Member,CPI(M),Woman
,,7.0,MULLAKKERI,RAJI .R,Vice President,INC,Woman
,,8.0,MANAYIL,BEENA RAMESAN,Member,INC,Woman
,,9.0,MAVELI,ADV. E . YUSUFKUNJU,President,INC,General
,,10.0,MIDAPPALLY,KONCHERIL SHAMSUDEEN,Member,INC,General
,,11.0,KANNANKULANGARA,RAVI.R,Member,INC,SC
,,12.0,NADUVATHUCHERI,ZEENATH,Member,RSP(B),Woman
,,13.0,CHOLA,E.ALIYARUKUTTY,Member,INC,General
,,14.0,VADUTHALA,PANMANA BALAKRISHNAN,Member,INC,General
,,15.0,KOLAM,SHAMI,Member,INC,Woman
,,16.0,KALARI,USHAKUMARI,Member,INC,Woman
,,17.0,MEKKADU,SAJINI PAUL,Member,KRSP(B),Woman
,,18.0,CHITTOOR,SHEELA O,Member,JSS,SC Woman
,,19.0,PONMANA,RAGINI PRAKASH,Member,INC,Woman
,,20.0,PANMANA,MAMOOLAYIL SETHUKUTTAN,Member,INC,General
,,21.0,PORUKKARA,RAFIYATH,Member,RSP,Woman
,,22.0,VADAKUMTHALAMEKKU,TEENA. S,Member,CPI(M),Woman
,,23.0,KUTTIVATTOM,AMBILI S,Member,CPI,Woman
,,1.0,KUDALARKUDI,RATHNAMALA GANDHISWAMI,Member,INC,Woman
,,2.0,KOTTAKKAMBOOR EAST,MOHANDHAS GANDHIDASAN,Vice President,INC,General
,,3.0,KADAVARI,RAJAMMAL SHANMUGAM,Member,CPI(M),ST Woman
,,4.0,KOTTAKKAMBOOR WEST,MURUGAN PARAMASIVAN,Member,INC,ST
,,5.0,KOVILOOR NORTH,JAYALAKSMI KARUPPAYYA,Member,CPI(M),SC Woman
,,6.0,KOVILOOR WEST,CHINTHAMANI SELVAM,Member,INC,Woman
,,7.0,KOVILOOR EAST,DHANALAKSMI KUPPUSWAMI,Member,CPI(M),ST Woman
,,8.0,KOVILOOR SOUTH,SEKHAR CHELLAN,Member,INC,SC
,,9.0,VATTAVADA SOUTH,CHANDRA BHARATHAN,Member,INC,Woman
,,10.0,VATTAVADA NORTH,VENKIDESH VARADARAJ,Member,INDEPENDENT,General
,,11.0,PAZHATHOTTAM,BALAKRISHNAN SUBRAHMANYAN,Member,INC,ST
,,12.0,CHILANTHIYAR,MARIYAPPAN SUBRAHMANYAN,Member,CPI(M),General
,,13.0,SWAMIYARALAKUDI,SUMITHRA NAGARAJ,President,INDEPENDENT,Woman
,,1.0,PUTHIYA KADAPURAM,BASHEER SAVANAJINTE PURAKKAL,Member,IUML,General
,,2.0,KALAD,MADHAVAN ANCHERIPATTATHIL,Member,CPI(M),General
,,3.0,CHAKKARAMOOLA,HASEENA KARIYARAKKAL,Member,CPI(M),Woman
,,4.0,MANJALAMPADI,KESAVAN KUTTY A/S SASI KIZHAKKE THAMARAPPALLY,Member,CPI(M),General
,,5.0,KORANGATH,ARAMUGHAN KAVEETTIL,Member,CPI(M),General
,,6.0,KARIMARAM,ROSILY KADAVATH,Member,CPI(M),Woman
,,7.0,ALINCHUVADU,PREMA KALLIDUMBIL,Member,CPI(M),Woman
,,8.0,PATHAMPAD,ISMAIL PUTHUSSERI,Member,IUML,General
,,9.0,NOORMAITHANAM,BASILA ARANKATHIL,Member,IUML,General
,,10.0,MANGAD,SANTHAMMA KOMALA RAMAN NAIR,Member,CPI(M),General
,,11.0,VALLIKKANHIRAM,IYYATHAKUTTY ACHIPRA,Member,IUML,Woman
,,12.0,KUMARANPADI,SUHARA RASAQ,Member,CPI(M),Woman
,,13.0,AYYAPPANKAVU,PARAMESWARAN KAYAKKATTIL,Member,CPI(M),SC
,,14.0,JANATHA BAZAR,SUBAIDA SHALIMAR,Member,CPI(M),Woman
,,15.0,PANCHARAMOOLA,SIDHEEQUE KADAVANDI VALAPPIL,President,CPI(M),General
,,16.0,THEVARKADAPURAM,SHAHARBANU CHOKKIDINTE PURAKKAL,Vice President,CPI(M),Woman
,,17.0,UNNIYAL,GAFOOR KAMMUTTAKATH,Member,CPI(M),General
,,1.0,MADAKKARA,PRAMEELA .A.K,Member,CPI(M),Woman
,,2.0,K P R NAGAR,ASHRAF VATTACHALIL,Member,INDEPENDENT,General
,,3.0,MALOLKKUNNU,KAVITHA .P.V,Vice President,INDEPENDENT,Woman
,,4.0,CHAMAKKUNNU,VALLIL MAHAMOOD,Member,IUML,General
,,5.0,PUTHIYOTTUMKANDI,BABY GIRIJA .K,Member,INDEPENDENT,Woman
,,6.0,ONCHIYAM,M. M. KUMARAN MASTER,Member,INDEPENDENT,General
,,7.0,THAYYIL,CHANDRI .O. K,Member,INDEPENDENT,Woman
,,8.0,VELLIKULANGARA,JAYARAJAN .P,President,INDEPENDENT,General
,,9.0,VALLATHKUNNU,SOBHA .T .V .K,Member,CPI(M),Woman
,,10.0,NADAPURAM ROAD,RANJITH .C .P,Member,INDEPENDENT,General
,,11.0,ARAKKAL,SARADA .V,Member,INC,Woman
,,12.0,ARAKKALA KIZHAKKU,SHYLAJA .P. M,Member,CPI(M),Woman
,,13.0,DISPENSARY,RAGHAVAN .K .K,Member,INDEPENDENT,SC
,,14.0,MADAPPALLY COLLEGE,JANARDHANAN .V .P,Member,CPI(M),General
,,15.0,KANNUVAYAL,RAGHAVAN MASTER .M,Member,SJ(D),General
,,16.0,KELUBAZAR BEACH,PRAMEELA .P .R,Member,CPI(M),Woman
,,17.0,VALIYA MADAKKARA,SHEENA .T,Member,IUML,Woman
,,1.0,MADANVILA,SHABNA SULFI,Member,INC,Woman
,,2.0,AZHOOR KSHETHRAM,K OMANA,Member,INC,Woman
,,3.0,GANAPATHIYAM KOVIL,G.VIJAYAKUMARI,Vice President,CPI(M),Woman
,,4.0,MAVINTEMOODU,R SANITHA,Member,CPI(M),SC Woman
,,5.0,KOLICHIRA,AZHOOR VIJAYAN,Member,INC,General
,,6.0,AZHOOR L P S,C RADHA,Member,CPI(M),SC Woman
,,7.0,KRISHNAPURAM,ADV. V JOY,President,CPI(M),General
,,8.0,MUTTAPPALAM,ADV. N SAIKUMAR,Member,CPI(M),General
,,9.0,THETTICHIRA,ADV. S KRISHNAKUMAR,Member,INC,General
,,10.0,GANDHISMARAKOM,B MANOHARAN,Member,INC,General
,,11.0,KANNUKALIVANAM,LAILA RAMACHANDRAN,Member,INC,Woman
,,12.0,NALUMUKKU,P K THANKAPPAN,Member,CPI(M),SC
,,13.0,CHILAMPIL,R RAGHUNADHAN NAIR,Member,CPI(M),General
,,14.0,AKKARAVILA,B SUDHARMA,Member,INC,Woman
,,15.0,PERUNGUZHI JUNCTION,G LEELA,Member,CPI(M),Woman
,,16.0,PANCHAYAT OFFICE,R AMBIKA,Member,CPI(M),Woman
,,17.0,RAILWAY STATION,V K SASIDHARAN,Member,INC,General
,,18.0,KOTTARAMTHURUTHU,ADV. M RAFI,Member,CPI(M),General
,,1.0,AYYAPPANCOIL,JACOB PADALUMKAL,Vice President,INC,General
,,2.0,ANAKKUZHY,LETHA SURESH,Member,INC,Woman
,,3.0,MATTUKATTA,ROSAMMA THOMAS,Member,INC,Woman
,,4.0,CHEMBALAM,OMANA NANDANAN,Member,CPI,Woman
,,5.0,DOORLAND,JAYESH K. NAIR,Member,KC(M),General
,,6.0,PALANIKAVU,PRINCY JAMES,Member,INC,Woman
,,7.0,SULTHANIA,ASHARAF MEERANKUTTY,Member,INDEPENDENT,General
,,8.0,PACHAKKADU,BINOY PHILIP,Member,INC,General
,,9.0,HEAVANVALLY,SAVITHA BINU,Member,CPI(M),Woman
,,10.0,CHAPPATH,SHAJI P. JOSEPH,Member,INC,General
,,11.0,ALADY,BIJU BABY,Member,INC,SC
,,12.0,POOVANTHIKUDY,SINI VINOD,Member,KC,Woman
,,13.0,MERYKULAM,VIJAYAMMA JOSEPH,President,INC,Woman
,,1.0,DHONI,K KOYAKUTTY,Member,INC,General
,,2.0,ENGENEERING COLLEGE,GEETHA C,Member,CPI(M),Woman
,,3.0,VADAKKETHARA,V UNNIKRISHNAN,Member,INC,General
,,4.0,THEKKETHRA,VALSALA V,President,CPI(M),Woman
,,5.0,ITHINGAPARAMBU,K.K SURESH KUMAR,Vice President,CPI(M),General
,,6.0,NADAKKAVU,P. LAKSHMI,Member,CPI,Woman
,,7.0,KORATHODI,SATHEESH K,Member,INC,General
,,8.0,ANDIMANDAM,PRAKASAN C,Member,INC,General
,,9.0,KUNNAMPARA,SANTHOSH B,Member,CPI(M),SC
,,10.0,KALLEKULANGARA,UDAYAKUMARI P,Member,INC,Woman
,,11.0,HEMAMBIKA SAMSKRITA SCHOOL,K.S UDHAYAKUMARA MENON,Member,CPI(M),General
,,12.0,KUNNUKAD,PARVATHI P,Member,INC,Woman
,,13.0,KONGAPADAM,C SAKUNTHALA,Member,CPI(M),Woman
,,14.0,PUNNAKULAM,K JAYAKRISHNAN,Member,CPI(M),General
,,15.0,RAILWAY COLONY,SMITHAM ALBIN,Member,INC,Woman
,,16.0,KAKKANI,SUMATHI MOHAN,Member,INC,Woman
,,17.0,UMMINI,KAMALAKSHI V.V,Member,CPI(M),SC Woman
,,1.0,CHETTUVA,SUMAYYA SIDHI,Member,IUML,Woman
,,2.0,VADAKKUMMURY,LASIKA TEACHER,Member,CPI(M),SC Woman
,,3.0,PULIKKAKADAVU,RENADEV E,Member,CPI(M),General
,,4.0,PULINJODU,SINDHU JAYAPRAKSH,Member,INC,General
,,5.0,SREENARAYANA,PREETHA TEACHER,Member,INC,Woman
,,6.0,VETTAKKORUMAKAN,K.B SUDHA TEACHER,Member,CPI(M),Woman
,,7.0,MARKET,SUNITHA MOHANAN,Member,CPI,SC Woman
,,8.0,N.H.S,V.K DIVAKARAN,Member,CPI(M),General
,,9.0,AYIRAMKANNI,SUBHA SUNIL,President,CPI(M),Woman
,,10.0,THIRUNARAYANA,SATHEESH PANAKKAL,Member,CPI(M),General
,,11.0,POLAKKAL,VISWAMBRAN N.K,Member,CPI(M),SC
,,12.0,THIRUMANGALAM,AJITHA K.V,Member,INC,Woman
,,13.0,FISHERIES,SAJEEV ARUKETTY,Member,INC,General
,,14.0,ETHAI,VELAYUDHAN THORANVEETTIL,Vice President,CPI,SC
,,15.0,NETHAJI,GOPI T.M,Member,CPI(M),General
,,16.0,KOTTA,VINITHA TEACHER,Member,INC,Woman
,,1.0,KARAPOTTA,AMBUJAM K.V,Member,CPI(M),Woman
,,2.0,KOTTEKKAD,RAMA R,Member,CPI(M),SC Woman
,,3.0,VADAKKUMURI,MOHANAN P.M.,Member,CPI(M),General
,,4.0,MANNAPRA,SARASWATHY GOPINATH,Member,CPI(M),Woman
,,5.0,PULIMKOOTTAM,RAMANI VIJAYAN,President,CPI(M),Woman
,,6.0,ARAMTHODY,CHENTHAMARAKSHAN M,Member,CPI(M),General
,,7.0,CHIRA,A UMMALLU,Member,INC,Woman
,,8.0,KONNENCHERY,C.JAYARAJAN,Member,INC,General
,,9.0,KARAYANKKAD,V.S.SHAJAHAN,Member,INC,General
,,10.0,KANNAMBRA,SOMASUNDARAN P,Member,CPI(M),General
,,11.0,CHALLIPARAMBU,KANNAN C.V,Member,CPI(M),SC
,,12.0,PANTHALAMPADAM,JOHNSON V.C,Member,INC,General
,,13.0,RAKKANDI,BINDU.V,Member,CPI(M),Woman
,,14.0,KALLINGALPADAM,KRISHNANKUTTY K K,Vice President,CPI(M),General
,,15.0,KALLERI,MALATHI HARIDAS,Member,CPI(M),Woman
,,16.0,CHOORKUNNU,LATHA VIJAYAN,Member,CPI(M),Woman
,,1.0,CHOVVOOR,ROHINIBHAI UNNIKRISHNAN,Member,INC,Woman
,,2.0,THALANADU CENTRE,SATHI VIJAYAN,Member,CPI(M),Woman
,,3.0,CHONAMALA,DILEEP KUMAR,Member,INC,ST
,,4.0,MELADUKKAM,ANOOP DASAN,Member,INC,SC
,,5.0,ADUKKAM,NAZEER (C K NAZEER),Member,KC(M),General
,,6.0,PERIYAM MALA,VALSAMMA GOPINADHAN,President,KC(M),Woman
,,7.0,VELLANI,BABY THOMAS,Vice President,INC,General
,,8.0,ATTIKKALAM,RAGINI SIVARAMAN,Member,INDEPENDENT,Woman
,,9.0,TEEKOY ESTATE,SALEENA HASANNAR,Member,CPI(M),Woman
,,10.0,MARAVIKKALLU,JOHNY THOMAS,Member,KC(M),General
,,11.0,PANCHAYAT OFFICE WARD,MOHAMMED,Member,INDEPENDENT,General
,,12.0,AYYAMPARA,MARY BABY,Member,KC(M),Woman
,,13.0,VADAKKUM BHAGAM,SHOBHA BABU,Member,CPI,ST Woman
,,1.0,VADAKKEN KOYICKAL,SASIKALA T,Member,CPI(M),Woman
,,2.0,KOPPARETH HIGH SCHOOL,KIZHAKKEVEETTIL VIJAYAN,Member,CPI(M),General
,,3.0,PUTHIYAVILA VADAKKU,SARALA SANKARANARAYANAN,Member,SJ(D),Woman
,,4.0,MANKULAM,N.RAJAN,Member,INC,SC
,,5.0,PUTHIYAVILA,RETNAKUMARI AMMA,Member,INC,Woman
,,6.0,PUTHIYAVILA SOUTH,ADV.N. RAJAGOPAL,Member,INC,General
,,7.0,PULLUKULAGARA VADAKKU,R. BINDU,President,INC,Woman
,,8.0,PULLUKULANGARA,ANUROOP. R,Member,INC,General
,,9.0,PIPE JUNCTION,PRAMEELA DAS,Member,INC,Woman
,,10.0,MADAMBIL,SIVAPRABHA.O,Member,INC,Woman
,,11.0,KALAWARD,VISWAMOHAN,Member,INC,General
,,12.0,KALARICKAL,A.V.RENJITH,Member,CPI(M),General
,,13.0,HEALTH CENTRE,BIJU EERICKAL,Vice President,INC,General
,,14.0,VARAMBATH,VINAYADAYINI REMANAN,Member,CPI(M),Woman
,,15.0,AMBALATHUM NADA,PRASOBHA. K.L,Member,INC,Woman
,,1.0,PARUVASSERY,RAJANI C,Member,CPI(M),Woman
,,2.0,CHERUKANNAMBRA,RADHIKA.V,Member,CPI(M),SC Woman
,,3.0,AYAKKAD,SMITHA B,Member,CPI(M),Woman
,,4.0,VADUKANTHODI,SAROJA BALAN,Member,CPI(M),Woman
,,5.0,VADAKKETHARA,G. MOHANAN,Member,CPI(M),General
,,6.0,ANJUMOORTHY,KUMARAN K,President,CPI(M),General
,,7.0,MALAPPURAM,ZEENATH NASSAR,Member,CPI(M),Woman
,,8.0,THEKKETHARA,K RAJAN,Member,CPI(M),General
,,9.0,MANGALAM,LISI SURESH,Member,CPI(M),Woman
,,10.0,MICHARAMCODE,A M SETHU,Member,CPI(M),General
,,11.0,PALAYAM,USSANAR V J,Member,CPI(M),General
,,12.0,MANNAM,K K PRADHEEP,Member,INC,General
,,13.0,GRAMAM,PRADEEP M,Member,INC,General
,,14.0,VADAKKENCHERY,RAMANI BHASKARAN,Member,INC,Woman
,,15.0,PALLIKKAD,RAJAN C P,Member,INC,General
,,16.0,PRADHANI,RADHAMANI V,Member,CPI(M),SC Woman
,,17.0,KALAMKULAM,ANITHA PAULSON,Vice President,CPI(M),Woman
,,18.0,KURUVAI,V A BENNY,Member,INDEPENDENT,General
,,19.0,PANNIYANKARA,SOFIYA PAULOSE,Member,INC,Woman
,,20.0,KOLAKKODE,C B AJAYAN,Member,CPI(M),General
,,1.0,ARUKONMALA,JOSE THOMAS,Member,INDEPENDENT,General
,,2.0,TEEKOY TOWN,P.J SEBASTIAN (SHAJAN.PURAPPANTHANAM),Member,KC(M),General
,,3.0,MANGALAGIRI,PUSHPALATHA HARIDAS,Member,INC,Woman
,,4.0,TEEKOY ESTATE,SALY MATHEW,Member,INC,Woman
,,5.0,OTTAYEETTI,MOHANAN KUTTAPPAN,Member,KC(M),SC
,,6.0,KAARIKADU,SUNNY. JOSEPH,Member,KC(M),General
,,7.0,VELLIKULAM,THOMAS CHACKO,Vice President,INC,General
,,8.0,MALAMEL,BIJU JOHN,Member,KC(M),General
,,9.0,VELATHUSSERY,GRESAMMA GEORGE,Member,INC,Woman
,,10.0,VAGAMATTOM,MINI BHARGAVAN,Member,CPI(M),Woman
,,11.0,CHERIMALA,MARYKUTTY MATHEW,Member,INC,Woman
,,12.0,PANCHAYAT JUNCTION,AMMINI THOMAS,President,KC(M),Woman
,,13.0,ANIYILAPPU,RILEEFA RASHEED,Member,INC,Woman
,,1.0,RAMAPURAM NORTH,ULLAS KUMAR.R,Vice President,CPI(M),General
,,2.0,EVOOR SOUTH,SADASIVAN.P,Member,INC,SC
,,3.0,SRKVLPS WARD,SATHEESH BABU.S,Member,INC,General
,,4.0,PATHIYURKKALA,SATHIYAMMA.S,Member,INC,Woman
,,5.0,PATHIYOOR TEMPLE WARD,"ANIL KUMAR,T",Member,INC,General
,,6.0,PHC WARD,AMMINI SASI .K,Member,INC,Woman
,,7.0,ARATTUKULANGARA WARD,MANI BHASURAN .C,Member,INC,Woman
,,8.0,PATHIYOORTHOTAM,SINDHU .S,Member,CPI(M),Woman
,,9.0,BAGAVATHIPPADY,MANU CHELLAPPAN,Member,CPI(M),General
,,10.0,ERUVA EAST,ASHA RAJEEV,Member,CPI(M),Woman
,,11.0,KUTTIKKULANGARA,SUDHA .S,Member,CPI(M),Woman
,,12.0,ERUVA,JAYACHANDRAN.B,Member,CPI(M),General
,,13.0,PATHIYOOR WEST,PRASANNA KUMARI K.L,President,CPI(M),Woman
,,14.0,SPINNING MILL WARD,KRISHNAMMA SASI. K,Member,INC,Woman
,,15.0,VERUVALLIBHAGAM,SANIL KUMAR. S,Member,CPI,General
,,16.0,MALAMELBHAGAM,SARASWATHY. M,Member,CPI(M),Woman
,,17.0,KARUVATTUMKUZHI,SARADA.N,Member,CPI(M),SC Woman
,,18.0,KALARIYKKAL WARD,RAMACHANDRAN PILLAI.P.R,Member,INC,General
,,19.0,RAMAPURAM SOUTH,MAHESH .V,Member,CPI(M),General
,,1.0,KAYIKKARA ASAN SMARAKAM,LAIJU V,Member,CPI(M),General
,,2.0,NEDUGANDA,SAMATHY SUBHASH,Member,CPI(M),Woman
,,3.0,KAYIKKARA,RANTHA SHAJI,Member,INC,Woman
,,4.0,KAPALEESWARAM,BINU VIJAYAN,Member,CPI(M),General
,,5.0,MUDIPPURA,SURENDRAN S,Member,CPI(M),General
,,6.0,PUTHENNADA,LIJA BOSE,Vice President,CPI(M),Woman
,,7.0,VALIYAPALLI,PIOUS C,President,CPI(M),General
,,8.0,POOTHURA,SHAIJU SIVAN,Member,INC,SC
,,9.0,CONVENT,AMALOLBHAVAM PETER,Member,CPI(M),Woman
,,10.0,PANCHAYAT OFFICE,FLORANCE ALBERT,Member,INC,Woman
,,11.0,ANCHUTHENGU JUNCTION,ELIZABETH,Member,INC,Woman
,,12.0,MANNAKKULAM,THOBIYAS J,Member,INC,General
,,13.0,MUNDUTHURA,JERALD ROBERT,Member,CPI(M),General
,,14.0,MAMBALLI,SUNITHA NELSON,Member,INC,Woman
,,1.0,ANAVILASAM,SOBHA SASIDHARAN NAIR,Member,CPI(M),Woman
,,2.0,NADUPPARA,RAJA KARUPPAYYA,Member,CPI(M),General
,,3.0,AMBALAMEDU,VAKKACHAN LUCKA,Member,INDEPENDENT,General
,,4.0,CHAKKUPALLAM NORTH,KUSUMAM SATHEESH,Member,INDEPENDENT,Woman
,,5.0,SULTHAN KADA,SHEEBA JACOB,Member,INC,Woman
,,6.0,ANAKKARA,JOSE ANSAL JOSEPH,Member,KC(M),General
,,7.0,MYLADUMPARA,SONIYA SUNEESH,Vice President,KC(M),SC Woman
,,8.0,CHELLAR KOVIL,T.R.GOPALAKRISHNAN NAIR,Member,INC,General
,,9.0,UDAYAGIRIMEDU,ANDAVAR NADESAN,Member,INC,SC
,,10.0,MATHAIKANDOM,JOHN ULAHANNAN,Member,INC,General
,,11.0,VALIYAPARA,ELIYAMMA YOHANNAN,Member,INC,Woman
,,12.0,MENONMEDU,ANNAMMA SCARIA,Member,INC,Woman
,,13.0,CHAKKUPALLAM SOUTH,ANTONY SCARIA,President,INC,General
,,14.0,MELCHAKKUPALLAM,VIJAYAMMA KRISHNANKUTTY,Member,CPI(M),Woman
,,15.0,NEDUMTHOTTI,MARIYAMMA CHERIYAN,Member,INC,Woman
,,1.0,KARAPOTTA,AMBUJAM K.V,Member,CPI(M),Woman
,,2.0,KOTTEKKAD,RAMA R,Member,CPI(M),SC Woman
,,3.0,VADAKKUMURI,MOHANAN P.M.,Member,CPI(M),General
,,4.0,MANNAPRA,SARASWATHY GOPINATH,Member,CPI(M),Woman
,,5.0,PULIMKOOTTAM,RAMANI VIJAYAN,President,CPI(M),Woman
,,6.0,ARAMTHODY,CHENTHAMARAKSHAN M,Member,CPI(M),General
,,7.0,CHIRA,A UMMALLU,Member,INC,Woman
,,8.0,KONNENCHERY,C.JAYARAJAN,Member,INC,General
,,9.0,KARAYANKKAD,V.S.SHAJAHAN,Member,INC,General
,,10.0,KANNAMBRA,SOMASUNDARAN P,Member,CPI(M),General
,,11.0,CHALLIPARAMBU,KANNAN C.V,Member,CPI(M),SC
,,12.0,PANTHALAMPADAM,JOHNSON V.C,Member,INC,General
,,13.0,RAKKANDI,BINDU.V,Member,CPI(M),Woman
,,14.0,KALLINGALPADAM,KRISHNANKUTTY K K,Vice President,CPI(M),General
,,15.0,KALLERI,MALATHI HARIDAS,Member,CPI(M),Woman
,,16.0,CHOORKUNNU,LATHA VIJAYAN,Member,CPI(M),Woman
,,1.0,PADOOR WEST,ASHARAF THANGAL,Member,IUML,General
,,2.0,PADOOR EAST,BEENA MANI,Vice President,IUML,SC Woman
,,3.0,PADOOR CENTRE,ABDUL MAJEED A.T,Member,INL,General
,,4.0,VENKITANGU WEST,SURESH VENNENGOT,Member,INC,General
,,5.0,VENKITANGU NORTH,SHEEJA UNNIKRISHNAN,Member,INC,SC
,,6.0,KANNOTH,CHANDHINI VENU,Member,CPI(M),Woman
,,7.0,VENKITANGU EAST,VIMALA N.K,Member,INC,SC Woman
,,8.0,KARUVANTHALA EAST,RATHY M.S,Member,CPI(M),Woman
,,9.0,KONCHIRA,KOCHAPPAN V.J,Member,INDEPENDENT,General
,,10.0,KETTUGAL,SHEELA CHANDRAN,Member,CPI(M),Woman
,,11.0,KARUVANTHALA SOUTH,THAHIRA MANAF,Member,INC,Woman
